place_id,name,vicinity,geometry.location.lat,geometry.location.lng,types,rating,user_ratings_total,international_phone_number,website,postal_code,locality,country,country_code
ChIJ_xrDJojlGRMRQc9VDohIqWc,Gaetano D'angelo Parrucchieri,"Corso Tukory, 137, Palermo",38.1088843,13.3589474,"['hair_care', 'point_of_interest', 'establishment']",4.9,17.0,+39 388 051 1205,,90134,Palermo,Italy,IT
ChIJfWad2mLvGRMRqsRJfhAZXqY,Santangelo Filippo,"Corso Tukory, 158, Palermo",38.1086871,13.3603307,"['hair_care', 'point_of_interest', 'establishment']",,,+39 091 657 3070,,90134,Palermo,Italy,IT
ChIJ2dSQRIjlGRMR8k-EDsQ1BrM,Parruccheria Antonela,Italy,38.1086648,13.3607817,"['hair_care', 'point_of_interest', 'establishment']",,,,,90127,Palermo,Italy,IT
ChIJoRi_ifXlGRMRmQEAe5xUQjg,Eliano & Erika - parrucchieri Theatrò Immagine,"Via Salvatore Spinuzza, 55, Palermo",38.12115059999999,13.3588295,"['hair_care', 'point_of_interest', 'establishment']",4.6,57.0,+39 091 611 8527,http://www.theatroimmagine.it/,90133,Palermo,Italy,IT
ChIJ_cJ7XojlGRMR6l9_zd3wAfc,Acconiciature Per Uomo Giuseppe,Italy,38.10836889999999,13.3612817,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90127,Palermo,Italy,IT
ChIJ2UoZ7GLvGRMRiZqm5kY3M10,Barber's Tony,"Via Generale Cadorna Luigi, 4, Palermo",38.1091223,13.3569466,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90134,Palermo,Italy,IT
ChIJtyBi3GLvGRMRA8_iPFvAHBk,Equipe Arrigo parrucchieri barbieri,"Via Volturno, 21, Palermo",38.1199916,13.3552445,"['hair_care', 'point_of_interest', 'establishment']",5.0,3.0,+39 339 411 6668,,90138,Palermo,Italy,IT
ChIJH5BlrHfvGRMRvwUhf_V5i1I,Cromia23parrucchieri,"Via Volturno, 23, Palermo",38.11996589999999,13.3552004,"['hair_care', 'point_of_interest', 'establishment']",5.0,1.0,+39 091 507 0003,,90138,Palermo,Italy,IT
ChIJ4RtC3Y3lGRMRzg4TUJn_CZk,Studio Mario,"Via Lincoln, 155, Palermo",38.1119028,13.3686623,"['hair_care', 'point_of_interest', 'establishment']",4.4,29.0,+39 091 616 1954,,90133,Palermo,Italy,IT
ChIJY-OZ8fLlGRMRbzqwEiIZ_jM,Acconciatura Uomo,Italy,38.118586,13.3683787,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90133,Palermo,Italy,IT
ChIJGw0Va17vGRMRlhwwVeYXBVg,Parruchiere per uomo,"Via Volturno, 56, Palermo",38.11930359999999,13.3541036,"['hair_care', 'health', 'point_of_interest', 'establishment']",3.7,3.0,+39 02 1234 5678,,90138,Palermo,Italy,IT
ChIJC29PBF_vGRMRcdjLCk_xL5A,L'antico Salone Barber 1931,"Via Pignatelli Aragona, 17, Palermo",38.12098100000001,13.3563966,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.7,133.0,+39 329 436 5302,https://www.facebook.com/Barbershop1931/,90138,Palermo,Italy,IT
ChIJ9x4ez4jlGRMRy5k1AoUeeKQ,CAPELLIPAXIA PARRUCCHIERI,"Via Vito D'Ondes Reggio, 6, Palermo",38.1083451,13.3639626,"['hair_care', 'point_of_interest', 'establishment']",4.8,29.0,+39 328 673 3393,,90127,Palermo,Italy,IT
ChIJbVruJmfvGRMRqtXrfXTf3mM,Barbera Antonina,"Via Cappuccinelle, 109, Palermo",38.1160289,13.3519743,"['hair_care', 'point_of_interest', 'establishment']",,,+39 091 611 8943,,90138,Palermo,Italy,IT
ChIJuWge-YjlGRMR9k8rsHDZaAg,Hair Style,Italy,38.107795,13.3621808,"['hair_care', 'point_of_interest', 'establishment']",5.0,1.0,,,90127,Palermo,Italy,IT
ChIJ8XV78FvvGRMRNWA_gRGFMv4,Giorgio Parrivecchio Parrucchieri Palermo,"Via Narciso Cozzo, 25, Palermo",38.1219212,13.3581148,"['hair_care', 'point_of_interest', 'establishment']",4.4,41.0,+39 091 321759,http://www.gpparrucchieri.it/,90139,Palermo,Italy,IT
ChIJb16ZEY7lGRMRWkofOeVZRSk,Manzella Giovanni,"Corso dei Mille, 71, Palermo",38.1107838,13.3687504,"['hair_care', 'point_of_interest', 'establishment']",5.0,1.0,+39 091 252 5682,,90123,Palermo,Italy,IT
ChIJ-YcWDF7vGRMRQczRVkhpjuk,Hair Style Mario,"Via Volturno, 90, Palermo",38.1194131,13.3533345,"['hair_care', 'point_of_interest', 'establishment']",4.6,8.0,+39 329 669 8451,https://instagram.com/barbershop_zora?utm_medium=copy_link,90138,Palermo,Italy,IT
ChIJ5wJd_V7vGRMRyXIjgU6x71o,Klipp Parrucchieri,"Via generale Magliocco, 29, Palermo",38.1215058,13.3562905,"['hair_care', 'point_of_interest', 'establishment']",4.8,44.0,+39 091 580647,,90141,Palermo,Italy,IT
ChIJ73AwKvTlGRMRUx215ckfIjo,Adone Parrucchieri,"Via Cavour, 69, Palermo",38.1224705,13.3618912,"['hair_care', 'point_of_interest', 'establishment']",4.8,29.0,+39 349 443 2838,,90133,Palermo,Italy,IT
ChIJtbilefblGRMRyBIxlNIb5W0,Parrucchieria L'essenza della Bellezza di Santino,"Via Francesco Guardione, 70, Palermo",38.12257979999999,13.3609931,"['hair_care', 'point_of_interest', 'establishment']",4.8,29.0,+39 091 507 7437,https://www.facebook.com/Lessenza-della-bellezza-di-Santino-473355122767639/?fref=ts,90139,Palermo,Italy,IT
ChIJ_7eRcV7vGRMRtyufFMWIUsQ,Rosy & James Parrucchieri,"Via Carini, 21, Palermo",38.11991220000001,13.3533432,"['hair_care', 'point_of_interest', 'establishment']",4.7,13.0,+39 091 784 3139,,90138,Palermo,Italy,IT
ChIJywKuhzDvGRMR9lUHSSdfu3g,Fabrizio & Donatella Parrucchieri,"Piazzale Ungheria, Galleria delle Rose, 36, Palermo",38.1217771,13.356136,"['hair_care', 'point_of_interest', 'establishment']",5.0,15.0,+39 091 327218,,90149,Palermo,Italy,IT
ChIJMYSCrxPlGRMRdd7htPMBlms,Parrucchieria Diva By Danila,"Via Cavour, 33, Palermo",38.12266439999999,13.362948,"['hair_care', 'point_of_interest', 'establishment']",4.8,4.0,+39 091 324939,,90144,Palermo,Italy,IT
ChIJ-43byGLvGRMRK0X-TVufXec,NC Parruccheria Nunzio Cottone,"Via Salamone Marino Salvatore, 28C, Palermo",38.10727840000001,13.3594026,"['hair_care', 'point_of_interest', 'establishment']",4.9,36.0,+39 091 652 2973,,90127,Palermo,Italy,IT
ChIJgYY5Do7lGRMRvoZX5QG9png,Parrucchieri Arte & Moda Mimmo E Tony,Italy,38.1106345,13.369349,"['hair_care', 'point_of_interest', 'establishment']",5.0,4.0,,,90123,Palermo,Italy,IT
ChIJyeN-DEfvGRMRVJW3UoHYjgE,Opera Le Arti Della Bellezza Di Gangi Gaetano Fabrizio E Donatella,"Piazzale Ungheria, 36, Palermo",38.122301,13.3564275,"['hair_care', 'point_of_interest', 'establishment']",4.1,12.0,+39 091 327218,,90141,Palermo,Italy,IT
ChIJhU8k2V7vGRMRQxmaaR89U5g,I Segreti Della Bellezza,"Via Mariano Stabile, 225, Palermo",38.1222433,13.3556299,"['hair_care', 'point_of_interest', 'establishment']",3.7,14.0,+39 091 251 0616,,90141,Palermo,Italy,IT
ChIJbbKuLFnvGRMRktIwLvc9lnM,Hair Gallery di Paolo D'Agostino,"Via Valerio Villareale, 32, Palermo",38.1227086,13.3555426,"['hair_care', 'point_of_interest', 'establishment']",4.9,117.0,+39 091 320099,http://www.hairgallerypaolo.it/,90141,Palermo,Italy,IT
ChIJNcHXAPblGRMRn7eD6tvhA8s,Pierre Hair Stylist,"Via Cerda, 11, Palermo",38.1227951,13.3586767,"['hair_care', 'point_of_interest', 'establishment']",4.2,19.0,+39 091 612 7025,https://www.facebook.com/pages/category/Hair-Salon/Pierre-HAIR-Stylist-293854310797114/,90139,Palermo,Italy,IT
ChIJuSKjlF7vGRMRrgAEi9HLsDI,EpiLate Palermo 2,"Via Mariano Stabile, 275, Palermo",38.12172789999999,13.3543206,"['hair_care', 'beauty_salon', 'health', 'point_of_interest', 'establishment']",4.4,11.0,+39 091 779 2030,http://www.epilate.it/?utm_source=google&utm_medium=organic&utm_campaign=localmarketing,90141,Palermo,Italy,IT
ChIJUzdcjl7vGRMRZ0V1eNELo4E,Figaro Di Trudettino Giuseppe,"Via Pignatelli Aragona, 92, Palermo",38.1212793,13.3538605,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.7,31.0,+39 091 784 7407,,90141,Palermo,Italy,IT
ChIJHR4rzF7vGRMRir6cXt3X5sQ,Mago',"Via Valerio Villareale, 55, Palermo",38.12298820000001,13.3549265,"['hair_care', 'point_of_interest', 'establishment']",4.9,8.0,+39 091 611 3815,,90141,Palermo,Italy,IT
ChIJs1EiB_blGRMR6f7xx9V2CAA,Art&Sun Parrucchieria uomo/donna/estetica,"Via Villaermosa, 37, Palermo",38.1229406,13.3592091,"['hair_care', 'point_of_interest', 'establishment']",4.6,19.0,+39 091 877 7612,https://artsun.it/,90139,Palermo,Italy,IT
ChIJaYYoNbvvGRMRwjoPMoKuGu8,HEROES THE MEN'S CLUB,"Via Valerio Villareale, 72, Palermo",38.1229235,13.35463,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.7,37.0,+39 389 646 5131,https://heroes-the-mens-club.business.site/?utm_source=gmb&utm_medium=referral,90141,Palermo,Italy,IT
ChIJc1HCBvblGRMRG5yXLD7akcQ,Davide Benvenuti Parrucchiere,"Via Villaermosa, 39, Palermo",38.1231141,13.3592252,"['hair_care', 'point_of_interest', 'establishment']",4.6,42.0,+39 091 581313,https://davide-benvenuti-parrucchiere.business.site/?utm_source=gmb&utm_medium=referral,90139,Palermo,Italy,IT
ChIJaZ6vpDPvGRMRyxdQWHLhANU,Benny martorana,"Via P.pe di, Via Principe di Granatelli, 39/45, Palermo",38.1237366,13.3576942,"['hair_care', 'point_of_interest', 'establishment']",5.0,32.0,+39 335 538 7304,,90100,Palermo,Italy,IT
ChIJYTNqt1jvGRMRujOxhn2LuIQ,Francesco Pagliaro - I Parrucchieri,"Via Principe di Granatelli, 39, Palermo",38.1237366,13.3576942,"['hair_care', 'beauty_salon', 'health', 'point_of_interest', 'establishment']",4.5,58.0,+39 091 609 0413,https://www.pagliarofrancesco.it/,90139,Palermo,Italy,IT
ChIJcWW-sF7vGRMRRgF5GsLtFnc,Cosimo Oliva Hair Stylist,"Piazza Sant'Oliva, 34, Palermo",38.12255129999999,13.3538631,"['hair_care', 'beauty_salon', 'point_of_interest', 'establishment']",4.6,102.0,+39 091 333204,http://www.cosimooliva.com/,90141,Palermo,Italy,IT
ChIJK0ey3ArvGRMRX8iiDcXvZKI,"Angela Fiorella, Studio 74","Piazza Ruggiero Settimo, Palermo",38.1237678,13.3556843,"['hair_care', 'point_of_interest', 'establishment']",5.0,2.0,+39 329 196 7226,,90139,Palermo,Italy,IT
ChIJi6ImRjzvGRMRYAh3v74cPKY,L'atelier della Bellezza - Salvino Cataldo - Parrucchieri,"Piazza Castelnuovo, 26/C, Palermo",38.1236158,13.3550416,"['hair_care', 'point_of_interest', 'establishment']",5.0,25.0,+39 091 980 5750,https://www.facebook.com/latelierdellabellezzasalvino,90141,Palermo,Italy,IT
ChIJWReIsSTvGRMRF7k0WvjgOAQ,My Room Hair Salon Parrucchiere,"Via Principe di Granatelli, 33, Palermo",38.1239272,13.3582791,"['hair_care', 'point_of_interest', 'establishment']",5.0,94.0,+39 091 276 5380,https://www.facebook.com/myroomhairsalon,90139,Palermo,Italy,IT
ChIJU8HXOZvvGRMRnyw-saeNQ7w,理发店,"Via Villa Filippina, 4, Palermo",38.1208292,13.3528308,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90138,Palermo,Italy,IT
ChIJQ5Ff_5jvGRMRssREP9o7LMo,UNI.CO Hair & Beauty Lab,"Piazza Sant'Oliva, 5, Palermo",38.1232996,13.3539231,"['hair_care', 'health', 'store', 'point_of_interest', 'establishment']",4.8,23.0,+39 329 777 5746,https://unico-barber-soap.business.site/?utm_source=gmb&utm_medium=referral,90141,Palermo,Italy,IT
ChIJMWlw4SHlGRMRX2MJzzjYk48,Beauty salon di K. Manzueto,"Via Roma, Palermo",38.1234116,13.3599738,"['hair_care', 'point_of_interest', 'establishment']",4.7,14.0,+39 091 276 3590,,90139,Palermo,Italy,IT
ChIJFUpu1l3vGRMRCt61TprY1lY,Carmelo&cardillo centro Degradè autorizzato,"Via Villa Filippina, 25, Palermo",38.1204967,13.3526967,"['hair_care', 'point_of_interest', 'establishment']",4.7,23.0,+39 091 321637,,90138,Palermo,Italy,IT
ChIJYYNre0rvGRMRQyjwVRj_OHM,Ellemme parrucchieri,"Via Paolo Paternostro, 38, Palermo",38.123129,13.3533709,"['hair_care', 'point_of_interest', 'establishment']",5.0,6.0,+39 091 585708,,90141,Palermo,Italy,IT
ChIJv9JyrF7vGRMRSyfIHGuyOSU,Lm Parrucchieri,Italy,38.12311279999999,13.3533538,"['hair_care', 'point_of_interest', 'establishment']",,,,,90141,Palermo,Italy,IT
ChIJs6ihsQvlGRMRhCY45C3NkFE,Boys club,"Via Roma, 469, Palermo",38.1239178,13.3596013,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.8,52.0,+39 391 744 9477,,90139,Palermo,Italy,IT
ChIJif1_mljvGRMRc4ANC6fXtxU,EcoSalon,"Via Riccardo Wagner, 10, Palermo",38.1246582,13.35799,"['hair_care', 'point_of_interest', 'establishment']",4.7,38.0,+39 091 332329,,90139,Palermo,Italy,IT
ChIJX9UpRlnvGRMRBqceF0brlMI,Centro Degradè Joelle Deborah,"Piazza Castelnuovo, 35, Palermo",38.1238692,13.3539267,"['hair_care', 'point_of_interest', 'establishment']",4.5,36.0,+39 091 602 3544,,90141,Palermo,Italy,IT
ChIJo91tkFjvGRMR2phjFVyKb0k,Cangemi Giuseppa,"Via Riccardo Wagner, 12, Palermo",38.1247572,13.3578993,"['hair_care', 'point_of_interest', 'establishment']",5.0,4.0,+39 091 580161,,90139,Palermo,Italy,IT
ChIJuXjrw13vGRMRzCnnc1wdgSc,Beatrix,"Via Nicolò Turrisi, 22, Palermo",38.11995539999999,13.3520308,"['hair_care', 'point_of_interest', 'establishment']",4.2,5.0,,,90138,Palermo,Italy,IT
ChIJkcU5EVnvGRMR_236NWTRNdg,Cherie S.A.S. Di Sole Annamaria,"Piazza Castelnuovo, 50, Palermo",38.1249291,13.3548673,"['hair_care', 'point_of_interest', 'establishment']",4.8,10.0,+39 091 582808,,90141,Palermo,Italy,IT
ChIJ_W1HQ_blGRMRqoI720P1PxQ,I Parrucchieri Di Camiolo Marco,"Via Mariano Stabile, 98, Palermo",38.1240965,13.3608341,"['hair_care', 'point_of_interest', 'establishment']",4.2,72.0,+39 327 577 2353,,90139,Palermo,Italy,IT
ChIJrx-HW_blGRMRFtWHG0Fq9Jw,Acconciature Uomo,"Via Principe Scordia, 74, Palermo",38.12416440000001,13.361104,"['hair_care', 'point_of_interest', 'establishment']",5.0,1.0,,,90139,Palermo,Italy,IT
ChIJ4_IxWn_lGRMR4xASmTkQXSw,MINNELLA ANTONINO ( BARBIERE ),"Via Principe Scordia, 76, Palermo",38.124206,13.3610797,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.9,9.0,+39 338 905 6101,,90139,Palermo,Italy,IT
ChIJIcGtAMfvGRMR00LPJ2PAI-0,Zappa Hair Parrucchieri,"Via Filippo Turati, 1, Palermo",38.12566040000001,13.3566874,"['hair_care', 'point_of_interest', 'establishment']",4.8,69.0,+39 091 611 7934,https://www.parrucchierizappa.it/,90139,Palermo,Italy,IT
ChIJBxDA_ljvGRMRif7xNy9tTpE,BARBERIA POLITEAMA,"Via Filippo Turati, 1, Palermo",38.1256995,13.3567585,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.9,163.0,+39 389 102 6786,http://www.barberiapoliteama.com/,90139,Palermo,Italy,IT
ChIJVxd6WFjvGRMRJcCyGqE9dP0,Divi X Divine,"Via Filippo Turati, 1, Palermo",38.1257757,13.3567208,"['hair_care', 'point_of_interest', 'establishment']",5.0,1.0,+39 091 611 7934,,90139,Palermo,Italy,IT
ChIJ3V3yz2rvGRMRfVcQDGUD_8E,Vincenzo Leta,"Via Houel, 2, Palermo",38.12221479999999,13.3511105,"['hair_care', 'point_of_interest', 'establishment']",5.0,5.0,,,90138,Palermo,Italy,IT
ChIJbV8YbmfvGRMRLbRTGfXaiVE,Ricci & Capricci Parrucchieri,"Corso A. Amedeo, 182, Palermo",38.1176511,13.3507724,"['hair_care', 'point_of_interest', 'establishment']",4.6,58.0,+39 091 611 7628,,90138,Palermo,Italy,IT
ChIJERCuYmfvGRMRyHrbIDzEwxE,I Parrucchieri Ferdina,Italy,38.1184781,13.350784,"['hair_care', 'point_of_interest', 'establishment']",,,,,90138,Palermo,Italy,IT
ChIJ47fcjgTvGRMRoRNKzAnO4WM,Empire barberia palermo,"Via Imera, 31, Palermo",38.116641,13.348864,"['hair_care', 'point_of_interest', 'health', 'establishment']",5.0,32.0,+39 366 332 7853,,90138,Palermo,Italy,IT
ChIJS6M1PLHoGRMRs4A9PXcPzCw,Parrucchieria Filippone Francesca,"Corso Camillo Finocchiaro Aprile, 33, Palermo",38.1190675,13.349817,"['hair_care', 'point_of_interest', 'establishment']",4.7,15.0,+39 091 637 5265,https://m.facebook.com/francesca.filippone.96,90138,Palermo,Italy,IT
ChIJ2eHz82fvGRMRJ4uwmXh4sUg,Maurizio Oreto Parrucchieri,"Via Imera, 6, Palermo",38.1183898,13.348478,"['hair_care', 'point_of_interest', 'establishment']",4.3,32.0,+39 091 601 4503,,90138,Palermo,Italy,IT
ChIJDaDJ3WfvGRMRBoj_SGExtWI,Girgenti parrucchieri uomo,"Via Marco Polo, 32, Palermo",38.1174696,13.3476078,"['hair_care', 'point_of_interest', 'establishment']",4.8,34.0,+39 320 155 9848,,90138,Palermo,Italy,IT
ChIJ9ZdA4WfvGRMR78MTZkd6uZ0,Parrucchieria Step&simy,"Via Marco Polo, 22, Palermo",38.1175192,13.3475856,"['hair_care', 'point_of_interest', 'establishment']",4.8,5.0,+39 320 017 7230,,90138,Palermo,Italy,IT
ChIJf6M0r2XvGRMRFDJtZ9qNizA,Parrucchiere Uomo Nicola,"Via Cappuccini, 4, Palermo",38.11121289999999,13.3494202,"['hair_care', 'point_of_interest', 'establishment']",4.1,30.0,,,90129,Palermo,Italy,IT
ChIJN_xEVFzvGRMRXROZpPjLU1s,Hairlab Ivan,"Via Cluverio, 29, Palermo",38.121552,13.3501918,"['hair_care', 'beauty_salon', 'point_of_interest', 'establishment']",4.9,20.0,+39 091 588884,,90138,Palermo,Italy,IT
